凋零之地	凋落の地
龙晶	龍晶
战魂	戦魂
龙晶	
真实伤害	
崩坏值	
弹反	パリィ
火焰伤害	
后摇时间	
英雄	
霊元素	
霸体	
刺杀	
背包	バッグ
被动	パッシブ
无敌	無敵
替身娃娃	身代わり人形
震退	ノックバック
赛季	シーズン
崩坏	崩壊
必杀	必殺
比赛	試合
标记	マーク
标题	タイトル
小兵	ミニオン
濒死	瀕死
冰封谷	氷結の谷
冰熊	氷熊
冰炎	氷炎
骇客	ハッカー
赛博	サイバー
不动	不動
不屈	不屈
目标	標的
战斧	戦斧
布莱德	ブレイド
材料	素材
采集	採取
采矿	採掘
参数	パラメータ
单人模式	シングルモード
竞技	アリーナ
炸弹	爆弾
燃烧弹	焼夷弾
资源	リソース
资源	資源
超杀	爆殺
长矛	長槍
破防	貫通
战衣	戦闘服
晨曦	夜明け
盾冲	シールドラッシュ
冲刺	ダッシュ
冲锋	突撃
初云之霞	初雲の霞
请稍候尝试	しばらくしてから再試行してください
刺客	アサシン
狐狸	キツネ
时装集市	アバター市場
获得方式：	入手方法：
恋爱涩涩的滋味	恋愛のほろ苦い味
解锁	解放
俯冲	急降下
生命回复效果	生命値回復効果
真实伤害	
可叠加	重ねがけ可能
崩坏值	
弹反	パリィ
火焰伤害	
后摇时间	
英雄	
霊元素	
霸体	
刺杀	
背刺	バックスタブ
共享治疗	共有回復
火抗	火炎耐性
强韧	強靭
轻身	軽快な身のこなし
闪现	フラッシュ
屠夫	肉屋
药剂大师	薬剤の名人
隐形	ステルス
抗暴	クリティカル耐性
融合灵	融合霊
刀盾	剣盾
潮汐号角	潮汐の角笛
暴风冰炎	暴風の氷炎
夺命蜂巢	命を奪う蜂巣
破甲骨器	破甲の骨器
天鹅羽翼	白鳥の羽翼
远古剑魂	古の剣魂
打野	ジャングル
精英令	エリート令
王权令	王権令
金钥匙	金の鍵
充值	チャージ
好友	フレンド
毒圈	毒気リング
矮人	ドワーフ暴怒
隐身	ステルス
灵元素	霊元素
英雄	レジェンド
双持	二刀流
传说战袍	伝説の戦袍
护甲	シールド
吃上一坨，肚子不饿	一口食べれば、空腹感は消える
狐狸发卡	キツネの髪留め
狐狸尾巴	キツネの尻尾
狐狸爪子	キツネの爪
饰品	アクセサリー
外观	外観
获得方式	入手方法
图纸	図面
灰烬	灰燼
篡位者	簒奪者
大地剑盾	大地の剣と盾
大地剑盾	大地の剣盾
大师	マスター
大招	大技
单场	1試合
单场	1試合あたり
单局	1試合あたり
单人匹配	シングルマッチング
单挑	一騎打ち
夺命蜂巢	命を奪う蜂巣
刀客	剣客
道具	アイテム
格挡	ガード
俄罗斯套娃	マトリョーシカ
青花瓷	染付磁器
空间石	スペースストーン
哥布林兵长	ゴブリン兵長
制造	製造
美味肉排	美味しいステーキ
采集	採取
掉落	ドロップ
得分	得点
得分	スコア
地区	地域
请求	リクエスト
徽章	バッジ
肉排	ステーキ
签到	チェックイン
任务	ミッション
点赞	いいね
安全区域	安全地帯
锻造者	鍛冶者
尸体	死体
大厅	ロビー
小怪	ミニオン
兑换码	シリアルコード
盾冲	盾突き
蓄力进攻	溜め攻撃
红包	祝儀
暴击	クリティカル
互动	交流
皇冠	王冠
英灵	英霊
惑星	惑星
击败	撃破
暴怒	激怒
法师	魔法使い
法术	魔術
翻滚	回避
反伤	ダメージ反射
房间	ルーム
主页	ホームページ
防御	防御
飞斧	投斧
次元工匠	次元の職人
沸腾	沸騰
碎片	欠片
可得	手に入れます
分配	割り当てる
分数	スコア
风骚走位	華麗な身のこなし
克敌制胜	敵を制する
凤凰	鳳凰
维护	メンテンナス
服务器	サーバー
辅助	サポート
附件	添付アイテム
领取	受領
副手技能	サブスキル
激活	アクティブ
键位	キーバインド
该	この
钢铁意志	鋼の意志
崔格尔	トリガー
福利	特典
哥布林	ゴブリン
药剂	薬剤
巢穴	巣穴
格瑞妮	グリニー
葛瑞妮	グリニー
弓手	弓使い
公鹿	鹿
号角	角笛
海螺	つぶ貝
锦鲤	錦鯉
闪金	ゴールドシャイア
长鞭	長鞭
长刀	長刀
回春	再生
花环	花輪
回旋	廻旋
薇薇安	ヴィヴィアン
回血	回復
魂灯	魂灯	https://dic.pixiv.net/a/Disillusion%28%E6%9D%B1%E6%96%B9%E3%83%AD%E3%82%B9%E3%83%88%E3%83%AF%E3%83%BC%E3%83%89%29
菜	下手
呵	フッ
怂	弱虫
豹子	ヒョウ
鸡	鶏
盾兵	盾兵
精英	エリート
法师	占星術師
枪兵	槍兵
狼	オオカミ
鸡	ニワトリ
人形野怪	人形モンスター
击倒	倒す
击杀	キル
积分	ポイント
激活码	アクティベーションコード
极高	至高
極寒の山麓	極寒の山麓
技能	スキル
学习	学習
加迪恩	ガディン
加密	エンコード
解密	デコード
加载中	読み込み中
更新	アップデート
剑盾	剣盾
角色	キャラクター
绞首高原	絞首高原
教学	チュートリアル
接受	受け付ける
切磋	切磋琢磨
射手	アーチャー
试炼挑战模式	試練チャレンジモード
天赋	天賦
支援	サポーター
借力	借力
金币	ゴールド
稀有属性	レア属性
金星护臂	金星の籠手
近战	近接戦闘
战绩	戦績
精铁矿	精鉄鉱
救援	救助
狙击	狙撃
桔梗	桔梗
晶核	晶核
巨魔	ジャイアント
队友	仲間
聚气	集中
卡希拉	カシラ
聚焦模式	フォーカス状態
坦克	タンク
战士	戦士
掠夺模式	略奪モード
克罗斯小径	クロス小径
狂爱之念	狂愛の念
狂暴	狂暴
来源：	入手方法：
蘑菇	キノコ
智慧之石	知恵の石
水晶	クリスタル
回复之石	回復の石
力量之石	筋力の石
火元素珠	火元素の珠
水元素珠	水元素の珠
敏捷之石	敏捷の石
血液	血液
植物果实	植物の実
生命之石	生命の石
史诗盾牌	史詩の盾
灵	霊
史诗利剑	史詩の剣
战袍	戦袍
新鲜的肉	新鮮な肉
远古	古
来自	より
累计	累計
冷却时间	クールダウン
队伍	チーム
离线	オフライン
连接	接続
鹰翼披肩	鷹翼の肩掛け
炼金	錬金
炼狱	煉獄
聊天语音	ボイスチャット
林梓涵	リン・ジーハン
键	キー
灵引	霊引き
式神	式神
纸蜻蜓	紙トンボ
灵引之虫	霊引きの虫
玲珑	玲瓏
绫音	綾音
流畅	スムーズ
流血	出血
开启	解放
开启	開放
商店	ショップ
刷新	リセット
帽子戏法	ハットトリック
地图	マップ
米	m
密码	パスワード
敏捷	敏捷
名次	順位
冥王护手	冥王の籠手
水滴	雫
魔法飞弹	魔法ミサイル
牧师	司祭
魔眼	魔眼
莫甘妮	モガンニ
玛丽	ブラッドマリー
难度	難易度
能量	エネルギー
生命垂危	命旦夕に迫る
加入	加入
加入	参加
战利品	戦利品
昵称	名前
昵称	ニックネーム
涅拉	ネラ
ip	IPアドレス
不足	足りない
女刺	アサシン
女武神	ワルキューレ
披风	マント
崛起	台頭
龙吼	龍吼
怒涛	怒涛
披肩	肩掛け
孔雀王	孔雀王
剪纸	切り紙
火烈鸟	フラミンゴ
自由风	自由スタイル
维多利亚	ヴィクトリア
皮肤	スキン
评分	評価
破甲	破甲
宝藏	秘宝
海盗	海賊
七日奖励	7日のボーナス
青铜	ブロンズ
礼包码	ギフトコード
日常	デイリー
赛季	シーズン
闪避	回避
破晓	夜明け
爱隆	エイロン
破隐	アンアースド
骑乘状态	ライド状態
前往	移動
潜伏	潜伏
潜行	潜伏
投掷	投擲
枪术	槍術
强攻	強攻
抢夺模式	略奪モード
演练	演習
爆炸甲虫	爆発甲虫
亲密度	親密度
清除	削除
清纯学妹	清純な後輩
路标	道標
接口	API
邮箱验证码	メール認証コード
可用	利用可能
区服	サーバー
预约	予約
全屏幕	フルスクリーン
邀请码	招待コード
燃烧	燃烧
台球	ビリヤード
人机训练	AIトレーニング
兔子	ウサギ
野猪	イノシシ
获得	手に入れる
柔情女仆	柔情メイド
熔炉守护	熔炉守護
碎铁	鉄砕け
肉盾	タンク
火鸡	ターキー
水晶肘	クリスタルエルボー
桃色	モモイロ
三环月斩	三連月斬り
三杀	トリプルキル
精灵球	モンスターボール
闪光.	フラッシュ
快银	クイックシルバー
龙珠	ドラゴンボール
泰坦	タイタン
闪光弹	フラッシュグレネード
击退	押し返す
蓄力	溜め
上手简单	初心者でも簡単に扱える
擅使	長けており
切入	切り込んで
擅长	使いこなし
擅长	長ける
伤害输出	ダメージディーラー
吸血鬼	吸血鬼
上帝	神
合成	合成
动作	モーション
热舞	セクシーダンス
职业	職業
尬舞	きまいダンス
弓箭手	アーチャー
女侠	侠女
豪放	豪気
神眷	神の庇護I
神秘	神秘
神器	神器
以及	および
升级	レベルアップ
神速	神速
爱心	ハート
红桃	ハート
洛可可	ロココ
生命	生命
冷却	クールダウン
时装	アバター
圣甲虫	聖なる甲虫
圣兽	聖獣
圣域	聖域
胜场	勝利した試合
剩余	残り
失落神路	失われた神の道
失去	ロスト
拥有	所有
死神之书	死神の書
守护水晶	クリスタルの護り
完美	パーフェクト
万神遗迹	神々の遺跡
亡语者营地	亡者の営所
王权的纷争	王権の争い
王者	王者
协议版本号	プロトコルバージョン
网络消息	ネットワークメッセージ
网络延迟	ネットワーク遅延
唯一被动	唯一のパッシブスキル
蜜蜂	蜜蜂
坚甲	堅い鎧
怒气	憤怒
拾取	拾う
拾取	ピックアップ
速攻	クイックアタック
衔接	食い合い
剑圣佩剑	剣聖の佩剣
神龙鳞甲	神龍の鱗甲
瘟疫	疫病
无人可挡	誰にも敵わない
霞	霞
系统小二	システム助手
缩圈	リング収縮
先贤祠	先賢の祠
鲜花	生花
追踪效果	追尾効果
手续费	手数料
新手	初心者
玉米糖	キャンディコーン
星落谷	星が降り注ぐ谷
星芒斩杀	星芒斬撃
猩红堡	猩紅の城塞
旋风战刃	竜巻の戦刃
该隐	ケイン
血鞭索敌	血の鞭で索敵
血鹰	血鷲
烟雾弹	スモークグレネード
验证码	認証コード
湮灭之影	滅びの影
一局	1試合あたり
一堆	沢山
医疗	医療
遗失图纸	紛失した図面
遗忘溶洞	忘却の洞窟
音量	ボリューム
隐杀	ステルスキル
英魂	英霊
重剑	重剣
迎新	初心者歓迎
硬直	硬直
影刺突袭	影の急襲
邮件	メール
幽火魂灯	幽かな火の魂灯
游戏音效	SE
丢弃	捨てる
羽翼	羽翼
维多利	ビクトリー
天使	エンジェル
御法者	魔術を司る者
梅林	マーリン
运动	運動
龙甲	竜鎧
神剑	神剣
里程	マイル
赠送	贈呈
跳劈	ジャンプ斬り
炸药桶	爆弾箱
女法师	占星術師
账号	アカウント
阵营	陣営
支援	支援
回旋镖	ブーメラン
战斧裁	戦斧の裁定
贝恩	ベイン
战令	バトルパス
铁砧	金床
长枪惊雷	長槍驚雷
侦查	偵察
致死投矛	死を呼ぶ投げ槍
治愈光环	癒しの光輪
挚爱之深	熱愛の深さ
终极技	アルティメットスキル
重斧	重斧
重击	重攻撃
逐风者	風を追う者
骇客帝国代码	ハッカー帝国コード
赛博朋克	サイバーパンク
霓虹闪烁	点滅ネオン
红锦鲤摇曳生姿	赤い錦鯉が揺れる姿
钻石	ダイヤ
穿梭	飛び交い
爆衣	服ビリ
提升	上昇
碎衣	服ビリ
击杀	撃破
刺杀	暗殺
裸衣	服ビリ
行走移动速度	歩行移動速度
冥王	冥王
工艺	工芸
晶莹剔透	透き通って輝く
弓弦	弓弦
鞭子	鞭
质感	質感
彰显华丽	華麗さを際立たせる
精华	精髄
飞天龙鹰	天空の龍鷹
盘旋	旋回
刷新	更新
附身	寄生生物
精贵	貴重
紫狱	紫獄
火枪手	ガンナー
艾芙之森	エーフの森
配方	レシピ
频道	チャンネル
快捷栏	クイックバー
暗精灵	ダークエルフ
奥恩	オウン
白金	プラチナ
白银	シルバー
薄雾之桥	霧に覆われた橋
薄雾之森	霧に覆われた森
携带	携える
布莱尔	ブライル
光环	光輪
鬼火魂灯	幽かな火の魂灯
线路	ルート
后期效果	ポストプロダクション
火药	火薬
角斗冠军	剣闘士チャンピオン
瑞法	リファ
史诗	史詩
自增	インクリメント
挑战	チャレンジ
视野范围	視野範囲
不可叠加	重ねがけ不可
可叠加	重ねがけ不可
获得	獲得
获得	回復される
获得	+
前往	進む

主手	メイン
副手	サブ
生命	生命値
血量	生命値
野怪	モンスター
盾甲	盾
闪白	フラッシュ
眩晕	めまい
丹红色	丹紅色
造型	造型
泰迪熊	テディベア
第一滴血	ファーストブラッド
顶极	究极
飞鞋	飛び靴
莲花	蓮華
漫画	マンガ
组队	チーム結成
狐狸耳朵	キツネの耳
释放	放つ
弑魂者	ソウルキラー
释放	展開
光罩	プロテクションバリア
残废	廃人
屏障	バリア
法术球	魔術球
嗜血之触	ブラッドタッチ
收藏展柜	コレクションケース
收获	収穫
收回	回収
收件人	届け先
守护	守り
守护	護り
手枪连发	連射拳銃
守护	守護
自身	自身
自身	自分
免费	無料
投掷物	投げ物
积累	蓄積
火枪	炎銃
宿敌	宿敵
技能石	スキルストーン
锁定目标	ロックオン
淘汰	アウト
淘汰赛	トーナメント
特效	エフェクト
提示	ヒント
提交	提出
替换	切り替え
替身	身代わり
堡	城塞
天梯	ランキング
天王星	ウラヌス
跳过	スキップ
跳跃	ジャンプ
进入	参加
派系	派閥
头像	アイコン
弹刀	パリィ
瞬移	瞬間移動
很难	難しい
栏	スロット
灵隐之虫	霊引きの虫	灵隐之虫
配置	配置
形象	形象
米黄色	ベージュ色
天雷飞鞋	天雷の飛び靴
土豪金	金ピカ
霸体	スーパーアーマー
龙筋飞索	竜筋飛索
安抚者	慰める者
补签	追加チェックイン
穿越	タイムトラベル
大区	地域
斗城	闘城
夺命速射	必殺の速射
橙装	オレンジ装備
火环	火輪
风行绝代	風靡絶代
